Fishnum,Cond,SLC_pct
1,baseline,30
1,arrest,33.3333333333333
1,recovery,20
2,baseline,45
2,arrest,0
2,recovery,33.3333333333333
3,baseline,76.6666666666667
3,arrest,0
3,recovery,44.4444444444667
4,baseline,56.6666666666667
4,arrest,33.3333333333333
4,recovery,25
5,baseline,93.3333333333333
5,arrest,0
5,recovery,66.6666666666667
6,baseline,85
6,arrest,0
6,recovery,72.2222222222333
7,baseline,83.3333333333333
7,arrest,0
7,recovery,73.3333333333333
8,baseline,41.6666666666667
8,arrest,0
8,recovery,11.1111111111
9,baseline,61.1111111111
9,arrest,0
9,recovery,50
10,baseline,82.2222222222333
10,arrest,0
10,recovery,13.3333333333333
11,baseline,13.3333333333333
11,arrest,0
11,recovery,13.3333333333333
12,baseline,76.6666666666667
12,arrest,0
12,recovery,74.4444444444333
13,baseline,88.8888888889
13,arrest,33.3333333333333
13,recovery,58.3333333333333
14,baseline,72.2222222222333
14,arrest,0
14,recovery,58.3333333333333
15,baseline,50
15,arrest,0
15,recovery,63.8888888889
16,baseline,66.6666666666667
16,arrest,0
16,recovery,25
17,baseline,63.3333333333333
17,arrest,0
17,recovery,55.5555555555667
18,baseline,100
18,arrest,33.3333333333333
18,recovery,66.6666666666667
19,baseline,100
19,arrest,33.3333333333333
19,recovery,80
20,baseline,80
20,arrest,0
20,recovery,17.7777777777667
21,baseline,91.6666666666667
21,arrest,0
21,recovery,55.5555555555667
22,baseline,88.8888888889
22,arrest,0
22,recovery,33.3333333333333
23,baseline,66.6666666666667
23,arrest,33.3333333333333
23,recovery,91.6666666666667
24,baseline,80
24,arrest,33.3333333333333
24,recovery,22.2222222222333
25,baseline,25
25,arrest,0
25,recovery,0
