Fishnum,Cond,obend_pct
1,baseline,63.8916664166667
1,arrest,8.33333333333333
1,recovery,50.9222221111
2,baseline,68.541666
2,arrest,26.6666666666667
2,recovery,51.8666653333333
3,baseline,56.5083329166667
3,arrest,35.6999993333333
3,recovery,52.7777773333667
4,baseline,34.6194441389
4,arrest,31.0999996666667
4,recovery,18.5222218889
5,baseline,50.8333323333333
5,arrest,72.2333323333333
5,recovery,66.8611102777667
6,baseline,31.2416664166667
6,arrest,0
6,recovery,22.5888887777667
7,baseline,24.85833325
7,arrest,16.6666666666667
7,recovery,15.7444445555667
8,baseline,31.2166665833333
8,arrest,0
8,recovery,33.3333333333333
9,baseline,52.35833325
9,arrest,27.7666663333333
9,recovery,68.8944435
10,baseline,34.725
10,arrest,10.8333333333333
10,recovery,28.9777777777667
11,baseline,57.108333
11,arrest,17.7666663333333
11,recovery,48.3333324444667
12,baseline,51.7416660833333
12,arrest,30
12,recovery,30.7333331111
13,baseline,54.2083340833333
13,arrest,13.3333333333333
13,recovery,24.4444444444667
14,baseline,61.6666663333333
14,arrest,5.566667
14,recovery,34.9999995555333
15,baseline,53.65833275
15,arrest,6.66666666666667
15,recovery,26.4777776666667
