group,baseline,dspeed,
1,control,9.688186,0.729085713259428
2,control,10.89592,0.377976588178572
3,control,8.45657966666667,0.302134010917494
4,control,7.472494,0.840034264329955
5,control,8.5163905,0
6,control,12.087739,0.272992409912226
7,control,8.82232,1.55550359769312
8,control,9.840657,0.210987741976984
9,control,9.87314066666667,0.074568200554352
10,control,12.030655,1.89153030321292
11,control,12.124474,0
12,control,17.0802046666667,0.741599193171259
13,control,24.7940166388889,1.42337078796046
14,control,3.33472404166667,0.678914348447398
15,control,10.5824184375,3.31201111607906
16,control,20.1959754583333,1.04958530196933
17,control,8.99880375,1.31005701730077
18,control,20.1173952083333,0.915428288600612
19,control,12.8842377916667,1.6243331584739
20,control,25.928325375,0.942213620818282
21,control,25.2001134027778,1.07095085520628
22,control,18.4144458888889,1.66196886136731
23,control,33.8732150416667,0.909545815538981
24,control,34.8057193055556,0.899079096511353
25,cochr,9.14593466666667,0.897860229630622
26,cochr,5.741734,0
27,cochr,12.2725896666667,0.878087371345067
28,cochr,7.447714,0
29,cochr,12.3750485,0.149002527141611
30,cochr,8.029418,0.048426423932594
31,cochr,11.34214,0.024621852666252
32,cochr,13.725436,0
33,cochr,9.6218475,0.39087737568071
34,cochr,13.003598,0
35,cochr,11.151002,0.057204664955968
36,cochr,6.425787,0
37,cochr,11.4503323333333,0.293849520583057
38,cochr,10.559962,0.015089022100648
39,cochr,8.88728708333333,0.8147496454322
40,cochr,5.30901047916667,0
41,cochr,8.22869516666666,0.037586335832791
42,cochr,17.5241472777778,0.217086359354984
43,cochr,14.14545175,0
44,cochr,9.19908731944444,0.574989215377884
45,cochr,7.95105438888889,1.38561677413867
46,cochr,20.9817205277778,2.6999487605573
47,cochr,12.8192562083333,0.042194101686523
